id,userID,large,medium,small
1,1,남자,운동화,뮬
2,1,남자,운동화,슬립온
3,1,남자,운동화,어글리슈즈
4,1,남자,운동화,스니커즈
5,1,남자,운동화,러닝화
6,1,남자,운동화,우븐슈즈
7,1,남자,구두,더비
8,1,남자,구두,로퍼
9,1,남자,구두,몽크스트랩
10,1,남자,구두,워커/첼시
11,1,남자,구두,블로퍼
12,1,남자,샌들/슬리퍼,가죽샌들
13,1,남자,샌들/슬리퍼,실내화
14,1,남자,샌들/슬리퍼,스포츠샌들
15,1,남자,샌들/슬리퍼,슬라이드
16,1,여자,운동화,캔버스화
17,1,여자,운동화,뮬
18,1,여자,운동화,슬립온
19,1,여자,운동화,어글리슈즈
20,1,여자,운동화,스니커즈
21,1,여자,운동화,러닝화
22,1,여자,운동화,우븐슈즈
23,1,여자,구두,플랫
24,1,여자,구두,로퍼
25,1,여자,구두,펌프스
26,1,여자,구두,워커
27,1,여자,구두,블로퍼
28,1,여자,구두,블링백
30,1,여자,구두,메리제인
31,1,여자,샌들/슬리퍼,가죽샌들
32,1,여자,샌들/슬리퍼,실내화
33,1,여자,샌들/슬리퍼,스포츠샌들
34,1,여자,샌들/슬리퍼,슬라이드
